# Project Compass Demo Proxy Log
# Format: timestamp,src_ip,user,http_method,url,status,bytes_sent,bytes_received,user_agent,category,risk_level,policy_action
2026-06-03T09:40:27Z,10.24.8.15,jdoe,POST,https://unknown-ai-tool.example/upload,403,3622,314297,"Edge/125.0",Unknown AI,unknown,review_required
2026-06-03T09:41:39Z,10.24.10.44,rpatel,POST,https://perplexity.ai/settings,429,5945,163206,"Edge/125.0",AI Search,medium,review_required
2026-06-03T09:42:29Z,10.24.8.22,asmith,POST,https://notion.so/,403,7145,348858,"Python-Requests/2.32",Productivity,low,allowed
2026-06-03T09:43:07Z,10.24.8.22,asmith,POST,https://unknown-ai-tool.example/api/chat,403,5953,47129,"Python-Requests/2.32",Unknown AI,unknown,blocked
2026-06-03T09:44:21Z,10.24.8.22,asmith,CONNECT,https://gemini.google.com/login,200,2019,22859,"Python-Requests/2.32",AI Assistant,medium,allowed
2026-06-03T09:45:11Z,10.24.20.99,guest,CONNECT,https://gemini.google.com/api/chat,302,1778,6507,"Firefox/126.0",AI Assistant,medium,allowed
2026-06-03T09:45:51Z,10.24.8.15,jdoe,POST,https://claude.ai/generate,429,7423,333037,"Firefox/126.0",AI Assistant,medium,allowed
2026-06-03T09:47:04Z,10.24.8.15,jdoe,CONNECT,https://chat.openai.com/settings,302,8279,304799,"Edge/125.0",AI Assistant,medium,review_required
2026-06-03T09:47:52Z,10.24.10.44,rpatel,POST,https://copilot.microsoft.com/upload,302,2297,9921,"Chrome/125.0",AI Assistant,low,allowed
2026-06-03T09:48:56Z,10.24.8.22,asmith,POST,https://drive.google.com/,302,1635,250637,"Firefox/126.0",Cloud Storage,medium,allowed
2026-06-03T09:49:42Z,10.24.8.15,jdoe,POST,https://notion.so/api/chat,200,6556,243994,"Firefox/126.0",Productivity,low,review_required
2026-06-03T09:50:32Z,10.24.9.31,mchen,CONNECT,https://drive.google.com/settings,200,5204,249507,"Chrome/125.0",Cloud Storage,medium,allowed
2026-06-03T09:51:37Z,10.24.8.22,asmith,CONNECT,https://api.openai.com/,200,3921,343263,"Python-Requests/2.32",AI API,medium,allowed
2026-06-03T09:52:34Z,10.24.8.22,asmith,CONNECT,https://chat.openai.com/login,200,4022,309880,"Edge/125.0",AI Assistant,medium,review_required
2026-06-03T09:53:21Z,10.24.9.31,mchen,POST,https://chat.openai.com/login,200,3346,46650,"Edge/125.0",AI Assistant,medium,review_required
2026-06-03T09:54:29Z,10.24.8.15,jdoe,POST,https://gemini.google.com/login,200,6246,47784,"Edge/125.0",AI Assistant,medium,allowed
2026-06-03T09:55:17Z,10.24.8.15,jdoe,GET,https://unknown-ai-tool.example/,200,6900,227048,"Edge/125.0",Unknown AI,unknown,review_required
2026-06-03T09:56:14Z,10.24.8.22,asmith,POST,https://chat.openai.com/api/chat,429,6035,47451,"Edge/125.0",AI Assistant,medium,review_required
2026-06-03T09:57:00Z,10.24.8.22,asmith,GET,https://notion.so/api/chat,302,4814,47694,"Chrome/125.0",Productivity,low,review_required
2026-06-03T09:57:52Z,10.24.8.15,jdoe,CONNECT,https://copilot.microsoft.com/,200,2172,25998,"Chrome/125.0",AI Assistant,low,review_required
2026-06-03T09:59:01Z,10.24.9.31,mchen,POST,https://claude.ai/login,200,8917,14131,"Chrome/125.0",AI Assistant,medium,allowed
2026-06-03T09:59:51Z,10.24.20.99,guest,GET,https://github.com/upload,302,5382,186841,"Chrome/125.0",Developer Tools,low,allowed
2026-06-03T10:00:38Z,10.24.20.99,guest,GET,https://gemini.google.com/generate,429,5169,123133,"Python-Requests/2.32",AI Assistant,medium,allowed
2026-06-03T10:01:45Z,10.24.20.99,guest,GET,https://elevenlabs.io/api/chat,403,7364,113300,"Firefox/126.0",Audio Generation,high,blocked
2026-06-03T10:02:44Z,10.24.8.22,asmith,POST,https://api.openai.com/settings,302,2384,315376,"Chrome/125.0",AI API,medium,allowed
2026-06-03T10:03:39Z,10.24.9.31,mchen,POST,https://api.openai.com/api/chat,302,9038,308317,"Edge/125.0",AI API,medium,allowed
2026-06-03T10:04:34Z,10.24.9.31,mchen,GET,https://unknown-ai-tool.example/v1/completions,200,2030,201287,"Python-Requests/2.32",Unknown AI,unknown,review_required
2026-06-03T10:05:27Z,10.24.10.44,rpatel,GET,https://unknown-ai-tool.example/v1/completions,403,7606,312945,"Firefox/126.0",Unknown AI,unknown,blocked
2026-06-03T10:06:09Z,10.24.8.22,asmith,CONNECT,https://copilot.microsoft.com/settings,200,1888,175485,"Firefox/126.0",AI Assistant,low,allowed
2026-06-03T10:07:06Z,10.24.8.22,asmith,GET,https://api.openai.com/generate,200,5176,333863,"Firefox/126.0",AI API,medium,allowed
2026-06-03T10:07:57Z,10.24.9.31,mchen,CONNECT,https://unknown-ai-tool.example/v1/completions,429,2036,254713,"Python-Requests/2.32",Unknown AI,unknown,review_required
