# Project Compass Demo Firewall Log
# Format: timestamp,device,src_ip,dst_ip,src_port,dst_port,protocol,app,action,rule,bytes,threat,category,risk_level
2026-06-03T09:50:16Z,fw-edge-01,10.24.9.31,123.106.48.212,61581,443,tcp,ms-copilot,allow,AI-Monitored-Allow,712456,none,AI Assistant,low
2026-06-03T09:51:01Z,fw-edge-01,10.24.10.44,209.217.191.136,51138,443,tcp,github,allow,AI-Monitored-Allow,870926,none,Developer Tools,low
2026-06-03T09:52:17Z,fw-edge-01,10.24.10.44,124.46.63.177,56121,80,tcp,ssl,allow,AI-High-Risk-Review,272281,none,Audio Generation,high
2026-06-03T09:53:24Z,fw-edge-01,10.24.20.99,117.205.45.171,49890,8443,tcp,ms-copilot,allow,AI-Monitored-Allow,28146,none,AI Assistant,low
2026-06-03T09:54:25Z,fw-edge-01,10.24.20.99,19.129.33.231,53357,443,tcp,ssl,reset-both,AI-High-Risk-Review,833422,policy-violation,Audio Generation,high
2026-06-03T09:55:06Z,fw-edge-01,10.24.9.31,137.161.225.57,61743,443,tcp,unknown-tcp,deny,AI-Unknown-Block,635457,none,Unknown AI,unknown
2026-06-03T09:56:09Z,fw-edge-01,10.24.20.99,217.102.206.201,52825,8443,tcp,ssl,allow,AI-High-Risk-Review,450919,none,Audio Generation,high
2026-06-03T09:57:25Z,fw-edge-01,10.24.9.31,197.109.149.188,50621,80,tcp,ms-copilot,allow,AI-Monitored-Allow,472501,none,AI Assistant,low
2026-06-03T09:58:16Z,fw-edge-01,10.24.10.44,183.115.43.33,53860,443,tcp,ssl,allow,AI-Monitored-Allow,694585,none,AI Assistant,medium
2026-06-03T09:59:17Z,fw-edge-01,10.24.10.44,72.63.135.175,60923,8443,tcp,google-drive,allow,AI-Monitored-Allow,698636,none,Cloud Storage,medium
2026-06-03T10:00:01Z,fw-edge-01,10.24.10.44,72.150.22.99,50315,80,tcp,ssl,allow,AI-High-Risk-Review,656212,none,Audio Generation,high
2026-06-03T10:01:05Z,fw-edge-01,10.24.9.31,181.67.84.72,57549,80,tcp,ssl,allow,AI-Monitored-Allow,568404,none,AI Search,medium
2026-06-03T10:02:22Z,fw-edge-01,10.24.9.31,42.54.92.165,62443,80,tcp,ssl,allow,AI-Monitored-Allow,505036,none,AI Search,medium
2026-06-03T10:03:17Z,fw-edge-01,10.24.20.99,47.207.203.36,56889,443,tcp,openai-api,allow,AI-Monitored-Allow,375707,none,AI API,medium
2026-06-03T10:04:04Z,fw-edge-01,10.24.9.31,231.202.70.50,52516,443,tcp,ssl,allow,AI-Monitored-Allow,582078,none,AI Assistant,medium
2026-06-03T10:05:26Z,fw-edge-01,10.24.9.31,238.186.52.197,52517,443,tcp,ssl,allow,AI-Monitored-Allow,142274,none,AI Assistant,medium
2026-06-03T10:06:02Z,fw-edge-01,10.24.10.44,131.167.153.126,64239,8443,tcp,ssl,allow,AI-Monitored-Allow,93422,none,Productivity,low
2026-06-03T10:07:09Z,fw-edge-01,10.24.8.15,95.106.26.123,64709,80,tcp,google-drive,allow,AI-Monitored-Allow,200219,none,Cloud Storage,medium
2026-06-03T10:08:14Z,fw-edge-01,10.24.9.31,169.27.231.195,59647,80,tcp,github,allow,AI-Monitored-Allow,751820,none,Developer Tools,low
2026-06-03T10:09:03Z,fw-edge-01,10.24.8.22,140.206.193.72,64503,443,tcp,ms-copilot,allow,AI-Monitored-Allow,826910,none,AI Assistant,low
